Doi,Title,Domain
https://doi.org/10.1016/j.iotcps.2023.02.004,Edge AI: A survey,Smart City
https://doi.org/10.1016/j.iotcps.2023.02.005,Edge AI: A survey,Smart Transport
https://doi.org/10.1016/j.iotcps.2023.02.006,Edge AI: A survey,IoV
https://doi.org/10.1016/j.iotcps.2023.02.007,Edge AI: A survey,Video Analytics
https://doi.org/10.1016/j.iotcps.2023.02.008,Edge AI: A survey,Context‑Aware Positioning
https://doi.org/10.1016/j.iotcps.2023.02.009,Edge AI: A survey,IIoT
https://doi.org/10.1016/j.sysarc.2024.103114,Adaptive approximate computing in edge AI and IoT applications: A review,IoV
https://doi.org/10.1016/j.sysarc.2024.103115,Adaptive approximate computing in edge AI and IoT applications: A review,Smart Things
https://doi.org/10.1016/j.sysarc.2024.103116,Adaptive approximate computing in edge AI and IoT applications: A review,Context‑Aware Positioning
https://doi.org/10.1016/j.iot.2022.100674,"AI-based fog and edge computing: A systematic review, taxonomy and future directions",Smart City
https://doi.org/10.1016/j.iot.2022.100675,"AI-based fog and edge computing: A systematic review, taxonomy and future directions",IoMT - (Healthcare)
https://doi.org/10.1016/j.iot.2022.100676,"AI-based fog and edge computing: A systematic review, taxonomy and future directions",IoV
https://doi.org/10.1016/j.iot.2022.100677,"AI-based fog and edge computing: A systematic review, taxonomy and future directions",Smart agriculture
https://doi.org/10.1016/j.iot.2022.100678,"AI-based fog and edge computing: A systematic review, taxonomy and future directions",Smart home
https://doi.org/10.1016/j.iot.2022.100679,"AI-based fog and edge computing: A systematic review, taxonomy and future directions",Video Analytics
https://doi.org/10.1016/j.iot.2022.100680,"AI-based fog and edge computing: A systematic review, taxonomy and future directions",Smart buildings
https://doi.org/10.1016/j.iot.2022.100681,"AI-based fog and edge computing: A systematic review, taxonomy and future directions",Content delivery
https://doi.org/10.1016/j.iot.2022.100682,"AI-based fog and edge computing: A systematic review, taxonomy and future directions",IIoT
https://doi.org/10.1016/j.iot.2022.100683,"AI-based fog and edge computing: A systematic review, taxonomy and future directions",IoT
https://doi.org/10.1016/j.jpdc.2022.04.004,Distributed Intelligence on the Edge-to-Cloud Continuum: A Systematic Literature Review,IoMT - (Healthcare)
https://doi.org/10.1016/j.jpdc.2022.04.005,Distributed Intelligence on the Edge-to-Cloud Continuum: A Systematic Literature Review,IoRT - (Robotics)
https://doi.org/10.1016/j.jpdc.2022.04.006,Distributed Intelligence on the Edge-to-Cloud Continuum: A Systematic Literature Review,Smart City
https://doi.org/10.1016/j.jpdc.2022.04.007,Distributed Intelligence on the Edge-to-Cloud Continuum: A Systematic Literature Review,IoT
https://doi.org/10.1016/j.jpdc.2022.04.008,Distributed Intelligence on the Edge-to-Cloud Continuum: A Systematic Literature Review,Smart agriculture
