rID,repo_name,url,capability_1,source_1,iso_map_C1-[R1],iso_map_C1-[R2],iso_map_C1-[R3],capability_2,source_2,iso_map_C2-[R1],iso_map_C2-[R2],iso_map_C2-[R3],capability_3,source_3,iso_map_C3-[R1],iso_map_C3-[R2],iso_map_C3-[R3],layer_caps
R022,aws-iot-fleetwise-edge,https://github.com/aws/aws-iot-fleetwise-edge,Intelligent Data Collection & Remote Commands,https://aws.amazon.com/pt/iot-fleetwise/,Data Capabilities,Data Capabilities,Data Capabilities,Store-and-Forward with Edge Buffering,https://github.com/aws/aws-iot-fleetwise-edge/tree/main?tab=readme-ov-file#reference-implementation-for-aws-iot-fleetwise,Data Capabilities,Data Capabilities,Data Capabilities,Secure MQTT Communication,https://github.com/aws/aws-iot-fleetwise-edge/blob/main/README.md#aws-iot-fleetwise-client-server-communication,Data Capabilities,Data Capabilities,Data Capabilities,Edge ↔ fog
R091,nn-comp,https://github.com/etri-edgeai/nn-comp,Model Compilation & Code Generation for Edge AI,https://github.com/etri-edgeai/nn-comp/tree/main,Data Capabilities,Data Capabilities,Data Capabilities,Optimization for Resource Efficiency,https://github.com/etri-edgeai/nn-comp/tree/main?tab=readme-ov-file#nn-comp,Data Capabilities,Data Capabilities,Data Capabilities,Intermediate Representation (IR) for Neural Networks,https://github.com/etri-edgeai/nn-comp/tree/main?tab=readme-ov-file#nn-comp,Data Capabilities,Data Capabilities,Data Capabilities,device ↔ fog
R154,mindspore,https://github.com/mindspore-ai/mindspore,End-to-End AI Lifecycle,https://github.com/mindspore-ai/mindspore?tab=readme-ov-file#what-is-mindspore,Data Capabilities,Data Capabilities,Data Capabilities,Lightweight Edge Inference,https://www.mindspore.cn/tutorials/en/master/beginner/introduction.html,Data Capabilities,Data Capabilities,Data Capabilities,Privacy-Preserving Federated Learning,https://www.mindspore.cn/tutorials/en/master/beginner/introduction.html,Data Capabilities,Data Capabilities,Data Capabilities,Continuum
R167,nanomq,https://github.com/nanomq/nanomq,Lightweight Edge Messaging Broker,https://github.com/nanomq/nanomq/,Data Capabilities,Data Capabilities,Data Capabilities,Protocol Translation & Interoperability Gateway,https://nanomq.io,Data Capabilities,Data Capabilities,Data Capabilities,High-Performance & Resource-Efficient Messaging,https://lfedge.org/projects/nanomq/,Data Capabilities,Data Capabilities,Data Capabilities,device ↔ fog
R254,kantv,https://github.com/zhouwg/kantv,Cross-Platform Media Processing,https://github.com/kantv-ai/kantv?tab=readme-ov-file#kantv,Data Capabilities,Data Capabilities,Data Capabilities,Hardware-Accelerated Video Decoding,https://github.com/kantv-ai/kantv?tab=readme-ov-file#software-architecture-of-kantv-android,Data Capabilities,Data Capabilities,Data Capabilities,Multi-Protocol Streaming & Playback,https://github.com/kantv-ai/kantv,Data Capabilities,Data Capabilities,Data Capabilities,edge ↔ fog
R257,ztachip,https://github.com/ztachip/ztachip,Custom Edge AI Hardware Acceleration,https://github.com/ztachip/ztachip,Data Capabilities,Data Capabilities,Data Capabilities,SDK & Runtime for Edge AI Applications,https://github.com/ztachip/ztachip?tab=readme-ov-file#software,Data Capabilities,Data Capabilities,Data Capabilities,Real-Time Vision & ML Inference,https://github.com/ztachip/ztachip?tab=readme-ov-file#hardware,Data Capabilities,Data Capabilities,Data Capabilities,device ↔ edge
R130,AI-on-the-edge-device,https://github.com/jomjol/AI-on-the-edge-device,Image Processing and Feature Extraction,https://github.com/jomjol/AI-on-the-edge-device?tab=readme-ov-file#workflow-,Supporting Capabilities,Data capabilities,Data capabilities,Connectivity & Integration,https://github.com/jomjol/AI-on-the-edge-device?tab=readme-ov-file#key-features-,Data capabilities,Data capabilities,Data capabilities,Device Management & Updatability,https://github.com/jomjol/AI-on-the-edge-device?tab=readme-ov-file#flashing-the-esp32-,Data capabilities,Data capabilities,Data capabilities,device ↔ fog
R261,smart-social-distancing,https://github.com/galliot-us/smart-social-distancing,Edge-Based Real-Time Social Distancing Analytics,https://github.com/galliot-us/smart-social-distancing?tab=readme-ov-file#introduction,Supporting Capabilities,Data Capabilities,Data Capabilities,Multi-Hardware AI Acceleration,https://github.com/galliot-us/smart-social-distancing,Data Capabilities,Data Capabilities,Data Capabilities,Event-Driven Notification & Data Integration,https://github.com/galliot-us/smart-social-distancing?tab=readme-ov-file#api-usage,Data Capabilities,Data Capabilities,Data Capabilities,Continuum
R201,viseron,https://github.com/roflcoopter/viseron,On-Device Video Analytics & AI Inference,https://github.com/roflcoopter/viseron,Supporting Capabilities,Data Capabilities or Transducer Capabilities,Data Capabilities,Hardware-Accelerated Vision Processing,https://viseron.netlify.app,Data Capabilities,Data capabilities,Data capabilities,Event-Driven Smart Home/IoT Integration,https://viseron.netlify.app/docs/documentation,Interface Capability,Data Capabilities,Data capabilities,device ↔ fog
R009,zilla,https://github.com/aklivity/zilla,Event-Driven API Gateway for IoT/Edge,https://github.com/aklivity/zilla?tab=readme-ov-file#--docs---quickstart---examples---demos---blog--,Interface Capability,Interface Capability,Interface Capability,Multi-Protocol Event Streaming Integration,https://github.com/aklivity/zilla,Data Capabilities,Data Capabilities,Data Capabilities,Low-Latency Edge Data Proxying,https://docs.aklivity.io/zilla/latest/,Data Capabilities,Data Capabilities,Data Capabilities,Continuum
R029,azure-iotedge,https://github.com/Azure/azure-iotedge,Edge Module Orchestration & Runtime Management,https://learn.microsoft.com/pt-br/azure/iot-edge/about-iot-edge#iot-edge-modules,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,Local Communication & Store-and-Forward Routing,https://learn.microsoft.com/pt-br/azure/iot-edge/about-iot-edge#iot-edge-runtime,Data Capabilities,Data Capabilities,Data Capabilities,Cloud-Native AI & Stream Processing at Edge ,https://learn.microsoft.com/pt-br/azure/iot-edge/about-iot-edge#iot-edge-cloud-interface,Data Capabilities,Data Capabilities,Data Capabilities,device ↔ fog
R138,kubeedge,https://github.com/kubeedge/kubeedge,Cloud-Edge Application Orchestration,https://github.com/kubeedge/kubeedge,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,Secure Edge Communication & Digital Twin,https://github.com/kubeedge/kubeedge?tab=readme-ov-file#on-the-edge,Data Capabilities,Data Capabilities,Data Capabilities,IoT Device Integration & Event Routing,https://github.com/kubeedge/kubeedge?tab=readme-ov-file#architecture,Data Capabilities,Data Capabilities,Data Capabilities,Continuum
R055,motion-ai,https://github.com/dcmartin/motion-ai,On-Device Video Analytics & AI Inference,https://github.com/dcmartin/motion-ai/blob/master/README.md,Data Capabilities,Data Capabilities,Data Capabilities,Hardware-Accelerated Inference for Vision,https://github.com/dcmartin/motion-ai?tab=readme-ov-file#accelerated-hardware-1-nvidia-jetson-nano-aka-tegra,Supporting Capabilities,Data Capabilities or Transducer Capabilities,Data Capabilities,Event-Driven IoT Integration,https://github.com/dcmartin/motion-ai?tab=readme-ov-file#add-ons,Data Capabilities,Data Capabilities,Data Capabilities,device ↔ fog
