rID,repo_name,full_repo_name,url,criteria,sa_doc,sa_doc_link,domain,cap_1,ISO_C1,cap_2,ISO_C2,cap_3,ISO_C3,layer_caps,project_type,search_term,stars,desc.,lang,last_commit,commits_2024,total_commits,collaborators,template,fork,forks,size,score,archived,disabled,Notes
R002,magistrala,absmach/magistrala,https://github.com/absmach/magistrala,I2,YES,https://magistrala.absmach.eu/docs/user-guide/architecture,"IIot, Iot, Orchestration",Multi-Protocol IoT Communication Broker,Data Capabilities,"Identity, Authentication & Authorization Management",Supporting Capabilities,Scalable Microservices IoT Platform,Supporting Capabilities,Continuum,Platform,edge iot,24.0,Industrial IoT Messaging and Device Management Platform,Go,2025-01-20T10:43:07Z,336.0,1.761,69.0,False,False,8.0,145756.0,1.0,False,False,
R003,supermq,absmach/supermq,https://github.com/absmach/supermq,I2,YES,https://docs.supermq.absmach.eu/architecture,"IIot, Iot, Orchestration",Multi-Protocol IoT Messaging Broker,Data Capabilities,Identity & Access Management for IoT,Supporting Capabilities,Scalable Microservices Architecture for IoT,Supporting Capabilities,Continuum,Platform,edge iot,2489.0,Event-driven Infrastructure for Modern Cloud,Go,2025-01-20T08:22:15Z,373.0,1.811,70.0,False,False,672.0,147242.0,1.0,False,False,
R007,aXeleRate,AIWintermuteAI/aXeleRate,https://github.com/AIWintermuteAI/aXeleRate,I1,NO,,"Video Analytics, Smart Things",Model Training & Auto-Conversion,Data Capabilities,Multi-Format Hardware Optimization,Supporting Capabilities,Configurable Workflow & Versioning,Supporting Capabilities,device ↔ fog,Framework,edge ai,180.0,Keras-based framework for AI on the Edge,Python,2024-03-05T09:24:49Z,3.0,265,5.0,False,False,71.0,9870.0,1.0,False,False,
R009,zilla,aklivity/zilla,https://github.com/aklivity/zilla,I2,YES,https://docs.aklivity.io/zilla/latest/concepts/what-is-zilla.html#who-zilla-is-for,IoT,Event-Driven API Gateway for IoT/Edge,Interface Capability,Multi-Protocol Event Streaming Integration,Data Capabilities,Low-Latency Edge Data Proxying,Data Capabilities,Continuum,Platform,edge-iot,563.0,"🦎 A multi-protocol edge & service proxy. Seamlessly interface web apps, IoT clients, & microservices to Apache Kafka® via declaratively defined, stateless APIs.",Java,2025-01-12T23:14:21Z,682.0,2.184,18.0,False,False,55.0,30050.0,1.0,False,False,
R013,heartkit,AmbiqAI/heartkit,https://github.com/AmbiqAI/heartkit,I1,YES,https://ambiqai.github.io/heartkit/,IoMT - (Healthcare),On-Device Biomedical Signal Inference,Data Capabilities,Low-Power AI Optimization,Supporting Capabilities,Health Data Preprocessing & Model Lifecycle,Data Capabilities,device ↔ fog,Full System,tinyml,21.0,Perform AI-based heart monitoring tasks,Jupyter Notebook,2024-10-10T21:46:36Z,43.0,195,1.0,False,False,7.0,39767.0,1.0,False,False,
R015,sleepkit,AmbiqAI/sleepkit,https://github.com/AmbiqAI/sleepkit,I1,YES,https://github.com/AmbiqAI/sleepkit/blob/main/docs/index.md,IoMT - (Healthcare),On-Device Sleep Stage Inference,Data Capabilities,Low-Power TinyML Optimization,Supporting Capabilities,End-to-End ML Pipeline for Biomedical IoT,Data Capabilities ,device ↔ fog,SDK,tinyml,11.0,Perform AI-based sleep monitoring,Jupyter Notebook,2024-10-02T18:08:39Z,29.0,58,1.0,False,False,2.0,31770.0,1.0,False,False,
R016,ai8x-synthesis,analogdevicesinc/ai8x-synthesis,https://github.com/analogdevicesinc/ai8x-synthesis,I1,YES,https://github.com/analogdevicesinc/MaximAI_Documentation,Smart Things,Model Quantization & Synthesis,Data Capabilities,Edge Hardware Optimization,Supporting Capabilities,Toolchain Integration & Automation,Supporting Capabilities,device ↔ fog,Framework,edge ai,59.0,Quantization and Synthesis (Device Specific Code Generation) for ADI's MAX78000 and MAX78002 Edge AI Devices,Python,2024-12-06T14:24:53Z,35.0,305,14.0,False,False,60.0,677035.0,1.0,False,False,
R017,ai8x-training,analogdevicesinc/ai8x-training,https://github.com/analogdevicesinc/ai8x-training,I1,YES,https://github.com/analogdevicesinc/MaximAI_Documentation,Smart Things,Model Training & Preparation,Data Capabilities,Hardware-Aware Model Constraint Handling,Data Capabilities,AutoML / Training Workflow Integration,Supporting Capabilities,device ↔ fog,Framework,edge ai,95.0,Model Training for ADI's MAX78000 and MAX78002 Edge AI Devices,Jupyter Notebook,2025-01-14T00:04:03Z,45.0,243,13.0,False,False,91.0,231469.0,1.0,False,False,
R022,aws-iot-fleetwise-edge,aws/aws-iot-fleetwise-edge,https://github.com/aws/aws-iot-fleetwise-edge,I2,YES,https://github.com/aws/aws-iot-fleetwise-edge?tab=readme-ov-file#aws-iot-fleetwise-architecture,IoV,Intelligent Data Collection & Remote Commands,Data Capabilities,Store-and-Forward with Edge Buffering,Data Capabilities,Secure MQTT Communication,Data Capabilities,Edge ↔ fog,Platform,edge-iot,63.0,Reference Implementation for AWS IoT FleetWise,C++,2025-01-15T14:50:35Z,25.0,92,15.0,False,False,45.0,5039.0,1.0,False,False,
R023,dem,axem-solutions/dem,https://github.com/axem-solutions/dem,I2,YES,https://github.com/axem-solutions/dem/blob/main/docs/design.md,IoT,Declarative DevEnv Orchestration,Supporting Capabilities,Template & Registry Integration,Supporting Capabilities,Portable Containerized Tooling,Supporting Capabilities,Edge ↔ fog,Subsystem,edge iot,101.0,Containerized Development Environment Manager for embedded development,Python,2025-01-17T17:02:10Z,69.0,495,9.0,False,False,15.0,7597.0,1.0,False,False,
