repo,review_order_in_repo,category,file,confidence,score
AI-on-the-edge-device,1,arch_overview,code/README.md,high,7
AI-on-the-edge-device,2,quality,param-docs/parameter-pages/MQTT/ValidateServerCert.md,low,0
AI-on-the-edge-device,3,deployment,.github/workflows/build.yaml,very_low,-2
AI-on-the-edge-device,4,interface,README.md,low,1
AI-on-the-edge-device,5,evaluation,code/components/jomjol_fileserver_ota/miniz/readme.md,low,1
AISonobuoy,1,arch_overview,Hydrophone/README.md,high,7
AISonobuoy,2,views,docs/img/sixfab_bladerf.jpg,low,1
AISonobuoy,3,quality,SECURITY.md,high,6
AISonobuoy,4,stakeholders,CODE_OF_CONDUCT.md,very_low,-2
AISonobuoy,5,deployment,DataScience/clustering_modeling/README.md,low,1
AISonobuoy,6,interface,.github/workflows/config/semgrep-python.yml,very_low,-2
AISonobuoy,7,evaluation,Hydrophone/README.md,low,1
AiCSD,1,arch_overview,docs_src/log-analytics/overview.md,medium,3
AiCSD,2,quality,security.md,high,6
AiCSD,3,stakeholders,docs_src/log-analytics/overview.md,medium,3
AiCSD,4,deployment,as-file-receiver-oem/Dockerfile,medium,3
AiCSD,5,interface,as-file-receiver-oem/clients/file_sender/interface.go,medium,3
AiCSD,6,evaluation,docker-compose-grpc-go.yml,low,0
BirdsEye,1,arch_overview,README.md,high,7
BirdsEye,2,views,docs/icon-diagram.png,medium,4
BirdsEye,3,quality,.github/workflows/codeql-analysis.yml,very_low,-2
BirdsEye,4,deployment,Dockerfile,medium,3
BirdsEye,5,interface,pyproject.toml,low,0
BirdsEye,6,evaluation,tests/mqtt_messages.log,medium,3
BitNetMCU,1,arch_overview,docs/readme.md,high,8
BitNetMCU,2,views,docs/Model.drawio,high,7
BitNetMCU,3,deployment,docs/readme.md,low,2
BitNetMCU,4,evaluation,docs/documentation.md,low,1
DeepStack,1,arch_overview,.github/workflows/pr_test_cpu.yml,very_low,-2
DeepStack,2,quality,README.md,low,1
DeepStack,3,deployment,README.md,low,1
DeepStack,4,interface,README.md,low,1
DeepStack,5,evaluation,demo/benchmark.py,high,6
FogBus2,1,arch_overview,README.md,high,7
FogBus2,2,quality,docs/Aneka.md,low,1
FogBus2,3,deployment,containers/actor/Dockerfile,medium,3
FogBus2,4,evaluation,README.md,low,1
JAMScript,1,arch_overview,lib/jside/core/README.md,high,7
JAMScript,2,quality,docs/design_throughts.txt,low,1
JAMScript,3,deployment,scripts/install/Dockerfile,medium,3
JAMScript,4,interface,lib/jside/jdiscovery/README.md,low,1
JAMScript,5,evaluation,tests/tests_old_compiler/Benchmarking/mqtt/compile_server.sh,high,6
KAN,1,arch_overview,docs/api/README.md,high,8
KAN,2,context,docs/tutorial/How-to-BYOM.md,medium,4
KAN,3,views,docs/images/KAN Arch.png,high,7
KAN,4,quality,SECURITY.md,high,6
KAN,5,stakeholders,CODE_OF_CONDUCT.md,very_low,-2
KAN,6,deployment,Deploy/helm/README.md,medium,4
KAN,7,interface,docs/api/README.md,high,8
KAN,8,evaluation,src/portal/modules/webmodule/backend/vision_on_edge/azure_app_insight/tests/__init__.py,medium,3
LiteRT,1,arch_overview,README.md,high,7
LiteRT,2,context,tflite/swift/docsgen/README.md,medium,4
LiteRT,3,quality,SECURITY.md,high,6
LiteRT,4,stakeholders,tflite/delegates/gpu/README.md,low,1
LiteRT,5,deployment,docker_build/docker-compose.yml,medium,3
LiteRT,6,interface,tflite/g3doc/api_docs/README.md,medium,4
LiteRT,7,evaluation,tflite/tools/benchmark/README.md,high,7
MaixPy,1,arch_overview,README.md,high,7
MaixPy,2,context,.github/workflows/sync_gitee.yml,very_low,-2
MaixPy,3,views,docs/doc/assets/maixcam_cpu_arch.jpg,medium,4
MaixPy,4,quality,docs/pages/index_en/README.md,low,2
MaixPy,5,deployment,docs/doc/en/audio/deploy_online_recognition.md,medium,4
MaixPy,6,interface,docs/api/README2.md,medium,4
MaixPy,7,evaluation,projects/app_benchmark/benchmarks/__init__.py,high,6
ModelAssistant,1,arch_overview,README.md,high,7
ModelAssistant,2,views,docs/images/rtmdet_coco_eval.png,medium,4
ModelAssistant,3,quality,docs/datasets/public.md,low,1
ModelAssistant,4,deployment,docs/tutorials/deploy/grove_vision_ai_v2.md,medium,4
ModelAssistant,5,interface,docs/zh_cn/tutorials/deploy/overview.md,low,1
ModelAssistant,6,evaluation,sscma/evaluation/__init__.py,medium,3
NanoLLM,1,arch_overview,docs/models.md,low,1
NanoLLM,2,deployment,docs/install.md,medium,4
NanoLLM,3,interface,docs/chat.md,low,1
NanoLLM,4,evaluation,docs/index.rst,low,1
Olares,1,arch_overview,framework/kube-state-metrics/docs/README.md,high,8
Olares,2,context,framework/app-service/config/default/manager_auth_proxy_patch.yaml,low,0
Olares,3,views,docs/public/images/how-to/olares/dashboard/overview.jpg,medium,4
Olares,4,quality,SECURITY.md,high,6
Olares,5,stakeholders,docs/developer/contribute/olares-id/verifiable-credential/olares.md,medium,4
Olares,6,deployment,docs/code-snippets/docker-compose.yaml,medium,4
Olares,7,interface,infrastructure/kubesphere/staging/src/kubesphere.io/api/README.md,medium,4
Olares,8,evaluation,framework/kube-state-metrics/tests/compare_benchmarks.sh,high,6
SydneyQt,1,arch_overview,frontend/README.md,high,7
SydneyQt,2,interface,webapi/README.md,medium,4
Vitis-AI,1,arch_overview,README.md,high,7
